rq,table_name,row_id,column_name,paper_value,artifact_value,match
RQ1,results-synthesis,Functional,E2A/flash/Syn,0,0,true
RQ1,results-synthesis,Functional,E2A/flash/Sem,5,5,true
RQ1,results-synthesis,Functional,E2A/lite/Unique,20,20,true
RQ1,results-synthesis,Functional,E2A/lite/Cor,11,11,true
RQ1,results-synthesis,Functional,E2A/lite/Syn,4,4,true
RQ1,results-synthesis,Functional,E2A/lite/Sem,5,5,true
RQ1,results-synthesis,Functional,A2A/pro/Unique,20,20,true
RQ1,results-synthesis,Functional,A2A/pro/Cor,15,15,true
RQ1,results-synthesis,Functional,A2A/pro/Syn,0,0,true
RQ1,results-synthesis,Functional,A2A/pro/Sem,5,5,true
RQ1,results-synthesis,Functional,A2A/flash/Unique,20,20,true
RQ1,results-synthesis,Functional,A2A/flash/Cor,15,15,true
RQ1,results-synthesis,Functional,A2A/flash/Syn,0,0,true
RQ1,results-synthesis,Functional,A2A/flash/Sem,5,5,true
RQ1,results-synthesis,Functional,A2A/lite/Unique,20,20,true
RQ1,results-synthesis,Functional,A2A/lite/Cor,12,12,true
RQ1,results-synthesis,Functional,A2A/lite/Syn,6,6,true
RQ1,results-synthesis,Functional,A2A/lite/Sem,2,2,true
RQ1,results-synthesis,Irreflexive,E2A/pro/Unique,20,20,true
RQ1,results-synthesis,Irreflexive,E2A/pro/Cor,18,18,true
RQ1,results-synthesis,Irreflexive,E2A/pro/Syn,2,2,true
RQ1,results-synthesis,Irreflexive,E2A/pro/Sem,0,0,true
RQ1,results-synthesis,Irreflexive,E2A/flash/Unique,20,20,true
RQ1,results-synthesis,Irreflexive,E2A/flash/Cor,17,17,true
RQ1,results-synthesis,Irreflexive,E2A/flash/Syn,3,3,true
RQ1,results-synthesis,Irreflexive,E2A/flash/Sem,0,0,true
RQ1,results-synthesis,Irreflexive,E2A/lite/Unique,20,20,true
RQ1,results-synthesis,Irreflexive,E2A/lite/Cor,18,18,true
RQ1,results-synthesis,Irreflexive,E2A/lite/Syn,0,0,true
RQ1,results-synthesis,Irreflexive,E2A/lite/Sem,2,2,true
RQ1,results-synthesis,Irreflexive,A2A/pro/Unique,20,20,true
RQ1,results-synthesis,Irreflexive,A2A/pro/Cor,18,18,true
RQ1,results-synthesis,Irreflexive,A2A/pro/Syn,2,2,true
RQ1,results-synthesis,Irreflexive,A2A/pro/Sem,0,0,true
RQ1,results-synthesis,Irreflexive,A2A/flash/Unique,20,20,true
RQ1,results-synthesis,Irreflexive,A2A/flash/Cor,18,18,true
RQ1,results-synthesis,Irreflexive,A2A/flash/Syn,2,2,true
RQ1,results-synthesis,Irreflexive,A2A/flash/Sem,0,0,true
RQ1,results-synthesis,Irreflexive,A2A/lite/Unique,20,20,true
RQ1,results-synthesis,Irreflexive,A2A/lite/Cor,15,15,true
RQ1,results-synthesis,Irreflexive,A2A/lite/Syn,2,2,true
RQ1,results-synthesis,Irreflexive,A2A/lite/Sem,3,3,true
RQ1,results-synthesis,Reflexive,E2A/pro/Unique,20,20,true
RQ1,results-synthesis,Reflexive,E2A/pro/Cor,20,20,true
RQ1,results-synthesis,Reflexive,E2A/pro/Syn,0,0,true
RQ1,results-synthesis,Reflexive,E2A/pro/Sem,0,0,true
RQ1,results-synthesis,Reflexive,E2A/flash/Unique,20,20,true
RQ1,results-synthesis,Reflexive,E2A/flash/Cor,19,19,true
RQ1,results-synthesis,Reflexive,E2A/flash/Syn,1,1,true
RQ1,results-synthesis,Reflexive,E2A/flash/Sem,0,0,true
RQ1,results-synthesis,Reflexive,E2A/lite/Unique,20,20,true
RQ1,results-synthesis,Reflexive,E2A/lite/Cor,18,18,true
RQ1,results-synthesis,Reflexive,E2A/lite/Syn,0,0,true
RQ1,results-synthesis,Reflexive,E2A/lite/Sem,2,2,true
RQ1,results-synthesis,Reflexive,A2A/pro/Unique,20,20,true
RQ1,results-synthesis,Reflexive,A2A/pro/Cor,19,19,true
RQ1,results-synthesis,Reflexive,A2A/pro/Syn,1,1,true
RQ1,results-synthesis,Reflexive,A2A/pro/Sem,0,0,true
RQ1,results-synthesis,Reflexive,A2A/flash/Unique,20,20,true
RQ1,results-synthesis,Reflexive,A2A/flash/Cor,19,19,true
RQ1,results-synthesis,Reflexive,A2A/flash/Syn,1,1,true
RQ1,results-synthesis,Reflexive,A2A/flash/Sem,0,0,true
RQ1,results-synthesis,Reflexive,A2A/lite/Unique,20,20,true
RQ1,results-synthesis,Reflexive,A2A/lite/Cor,16,16,true
RQ1,results-synthesis,Reflexive,A2A/lite/Syn,1,1,true
RQ1,results-synthesis,Reflexive,A2A/lite/Sem,3,3,true
RQ1,results-synthesis,Symmetric,E2A/pro/Unique,20,20,true
RQ1,results-synthesis,Symmetric,E2A/pro/Cor,18,18,true
RQ1,results-synthesis,Symmetric,E2A/pro/Syn,2,2,true
RQ1,results-synthesis,Symmetric,E2A/pro/Sem,0,0,true
RQ1,results-synthesis,Symmetric,E2A/flash/Unique,20,20,true
RQ1,results-synthesis,Symmetric,E2A/flash/Cor,19,19,true
RQ1,results-synthesis,Symmetric,E2A/flash/Syn,1,1,true
RQ1,results-synthesis,Symmetric,E2A/flash/Sem,0,0,true
RQ1,results-synthesis,Symmetric,E2A/lite/Unique,20,20,true
RQ1,results-synthesis,Symmetric,E2A/lite/Cor,18,18,true
RQ1,results-synthesis,Symmetric,E2A/lite/Syn,0,0,true
RQ1,results-synthesis,Symmetric,E2A/lite/Sem,2,2,true
RQ1,results-synthesis,Symmetric,A2A/pro/Unique,20,20,true
RQ1,results-synthesis,Symmetric,A2A/pro/Cor,18,18,true
RQ1,results-synthesis,Symmetric,A2A/pro/Syn,2,2,true
RQ1,results-synthesis,Symmetric,A2A/pro/Sem,0,0,true
RQ1,results-synthesis,Symmetric,A2A/flash/Unique,20,20,true
RQ1,results-synthesis,Symmetric,A2A/flash/Cor,20,20,true
RQ1,results-synthesis,Symmetric,A2A/flash/Syn,0,0,true
RQ1,results-synthesis,Symmetric,A2A/flash/Sem,0,0,true
RQ1,results-synthesis,Symmetric,A2A/lite/Unique,20,20,true
RQ1,results-synthesis,Symmetric,A2A/lite/Cor,18,18,true
RQ1,results-synthesis,Symmetric,A2A/lite/Syn,0,0,true
RQ1,results-synthesis,Symmetric,A2A/lite/Sem,2,2,true
RQ1,results-synthesis,Transitive,E2A/pro/Unique,20,20,true
RQ1,results-synthesis,Transitive,E2A/pro/Cor,19,19,true
RQ1,results-synthesis,Transitive,E2A/pro/Syn,1,1,true
RQ1,results-synthesis,Transitive,E2A/pro/Sem,0,0,true
RQ1,results-synthesis,Transitive,E2A/flash/Unique,20,20,true
RQ1,results-synthesis,Transitive,E2A/flash/Cor,17,17,true
RQ1,results-synthesis,Transitive,E2A/flash/Syn,3,3,true
RQ1,results-synthesis,Transitive,E2A/flash/Sem,0,0,true
RQ1,results-synthesis,Transitive,E2A/lite/Unique,20,20,true
RQ1,results-synthesis,Transitive,E2A/lite/Cor,16,16,true
RQ1,results-synthesis,Transitive,E2A/lite/Syn,0,0,true
RQ1,results-synthesis,Transitive,E2A/lite/Sem,4,4,true
RQ1,results-synthesis,Transitive,A2A/pro/Unique,20,20,true
RQ1,results-synthesis,Transitive,A2A/pro/Cor,19,19,true
RQ1,results-synthesis,Transitive,A2A/pro/Syn,1,1,true
RQ1,results-synthesis,Transitive,A2A/pro/Sem,0,0,true
RQ1,results-synthesis,Transitive,A2A/flash/Unique,20,20,true
RQ1,results-synthesis,Transitive,A2A/flash/Cor,19,19,true
RQ1,results-synthesis,Transitive,A2A/flash/Syn,1,1,true
RQ1,results-synthesis,Transitive,A2A/flash/Sem,0,0,true
RQ1,results-synthesis,Transitive,A2A/lite/Unique,20,20,true
RQ1,results-synthesis,Transitive,A2A/lite/Cor,13,13,true
RQ1,results-synthesis,Transitive,A2A/lite/Syn,1,1,true
RQ1,results-synthesis,Transitive,A2A/lite/Sem,6,6,true
