rq,table_name,row_id,column_name,value
RQ1,results-synthesis,Reflexive,E2A/lite/Cor,18
RQ1,results-synthesis,Reflexive,E2A/lite/Syn,0
RQ1,results-synthesis,Reflexive,E2A/lite/Sem,2
RQ1,results-synthesis,Reflexive,A2A/pro/Unique,20
RQ1,results-synthesis,Reflexive,A2A/pro/Cor,19
RQ1,results-synthesis,Reflexive,A2A/pro/Syn,1
RQ1,results-synthesis,Reflexive,A2A/pro/Sem,0
RQ1,results-synthesis,Reflexive,A2A/flash/Unique,20
RQ1,results-synthesis,Reflexive,A2A/flash/Cor,19
RQ1,results-synthesis,Reflexive,A2A/flash/Syn,1
RQ1,results-synthesis,Reflexive,A2A/flash/Sem,0
RQ1,results-synthesis,Reflexive,A2A/lite/Unique,20
RQ1,results-synthesis,Reflexive,A2A/lite/Cor,16
RQ1,results-synthesis,Reflexive,A2A/lite/Syn,1
RQ1,results-synthesis,Reflexive,A2A/lite/Sem,3
RQ1,results-synthesis,Symmetric,E2A/pro/Unique,20
RQ1,results-synthesis,Symmetric,E2A/pro/Cor,18
RQ1,results-synthesis,Symmetric,E2A/pro/Syn,2
RQ1,results-synthesis,Symmetric,E2A/pro/Sem,0
RQ1,results-synthesis,Symmetric,E2A/flash/Unique,20
RQ1,results-synthesis,Symmetric,E2A/flash/Cor,19
RQ1,results-synthesis,Symmetric,E2A/flash/Syn,1
RQ1,results-synthesis,Symmetric,E2A/flash/Sem,0
RQ1,results-synthesis,Symmetric,E2A/lite/Unique,20
RQ1,results-synthesis,Symmetric,E2A/lite/Cor,18
RQ1,results-synthesis,Symmetric,E2A/lite/Syn,0
RQ1,results-synthesis,Symmetric,E2A/lite/Sem,2
RQ1,results-synthesis,Symmetric,A2A/pro/Unique,20
RQ1,results-synthesis,Symmetric,A2A/pro/Cor,18
RQ1,results-synthesis,Symmetric,A2A/pro/Syn,2
RQ1,results-synthesis,Symmetric,A2A/pro/Sem,0
RQ1,results-synthesis,Symmetric,A2A/flash/Unique,20
RQ1,results-synthesis,Symmetric,A2A/flash/Cor,20
RQ1,results-synthesis,Symmetric,A2A/flash/Syn,0
RQ1,results-synthesis,Symmetric,A2A/flash/Sem,0
RQ1,results-synthesis,Symmetric,A2A/lite/Unique,20
RQ1,results-synthesis,Symmetric,A2A/lite/Cor,18
RQ1,results-synthesis,Symmetric,A2A/lite/Syn,0
RQ1,results-synthesis,Symmetric,A2A/lite/Sem,2
RQ1,results-synthesis,Transitive,E2A/pro/Unique,20
RQ1,results-synthesis,Transitive,E2A/pro/Cor,19
RQ1,results-synthesis,Transitive,E2A/pro/Syn,1
RQ1,results-synthesis,Transitive,E2A/pro/Sem,0
RQ1,results-synthesis,Transitive,E2A/flash/Unique,20
RQ1,results-synthesis,Transitive,E2A/flash/Cor,17
RQ1,results-synthesis,Transitive,E2A/flash/Syn,3
RQ1,results-synthesis,Transitive,E2A/flash/Sem,0
RQ1,results-synthesis,Transitive,E2A/lite/Unique,20
RQ1,results-synthesis,Transitive,E2A/lite/Cor,16
RQ1,results-synthesis,Transitive,E2A/lite/Syn,0
RQ1,results-synthesis,Transitive,E2A/lite/Sem,4
RQ1,results-synthesis,Transitive,A2A/pro/Unique,20
RQ1,results-synthesis,Transitive,A2A/pro/Cor,19
RQ1,results-synthesis,Transitive,A2A/pro/Syn,1
RQ1,results-synthesis,Transitive,A2A/pro/Sem,0
RQ1,results-synthesis,Transitive,A2A/flash/Unique,20
RQ1,results-synthesis,Transitive,A2A/flash/Cor,19
RQ1,results-synthesis,Transitive,A2A/flash/Syn,1
RQ1,results-synthesis,Transitive,A2A/flash/Sem,0
RQ1,results-synthesis,Transitive,A2A/lite/Unique,20
RQ1,results-synthesis,Transitive,A2A/lite/Cor,13
RQ1,results-synthesis,Transitive,A2A/lite/Syn,1
RQ1,results-synthesis,Transitive,A2A/lite/Sem,6
